validTime,station,runtime,M_0,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,obs
2021-01-02 12:00:00,1,2021-01-01 12:00:00,274.025,277.163,275.7,275.786,278.239,275.837,277.458,275.623,277.322,275.786,276.74
2021-01-02 12:00:00,2,2021-01-01 12:00:00,276.338,277.814,276.254,276.154,275.821,276.84,273.819,275.182,276.231,277.389,275.84
2021-01-02 12:00:00,3,2021-01-01 12:00:00,276.083,276.071,276.751,275.527,276.261,276.802,274.749,274.108,276.003,276.742,277.16
2021-01-03 12:00:00,1,2021-01-02 12:00:00,274.314,273.685,273.525,278.958,274.597,274.342,273.953,276.088,276.859,275.87,276.36
2021-01-03 12:00:00,2,2021-01-02 12:00:00,273.965,275.598,274.407,274.419,275.298,274.683,272.801,274.275,273.356,277.442,273.89
2021-01-03 12:00:00,3,2021-01-02 12:00:00,272.417,274.607,273.167,274.714,276.286,277.082,276.215,276.68,272.934,275.669,274.62
2021-01-04 12:00:00,1,2021-01-03 12:00:00,274.078,275.034,273.954,274.396,273.573,273.462,274.514,275.586,274.121,273.811,273.03
2021-01-04 12:00:00,2,2021-01-03 12:00:00,274.511,272.582,274.28,273.327,277.354,275.742,272.989,276.082,276.137,274.746,274.23
2021-01-04 12:00:00,3,2021-01-03 12:00:00,272.684,271.71,272.002,273.808,272.298,273.739,273.993,271.077,271.128,273.975,272.78
2021-01-05 12:00:00,1,2021-01-04 12:00:00,273.432,274.052,274.992,275.639,273.831,273.766,274.949,273.097,274.775,273.728,274.61
2021-01-05 12:00:00,2,2021-01-04 12:00:00,273.916,273.024,273.266,274.299,275.106,273.382,273.905,274.37,274.044,273.606,274.47
2021-01-05 12:00:00,3,2021-01-04 12:00:00,272.114,272.582,275.056,274.064,272.73,272.851,274.135,273.819,276.445,274.576,274.91
2021-01-06 12:00:00,1,2021-01-05 12:00:00,272.975,272.959,273.089,274.127,272.222,273.473,271.397,276.14,271.703,271.655,272.93
2021-01-06 12:00:00,2,2021-01-05 12:00:00,272.949,272.141,273.744,274.109,271.312,273.776,274.427,273.783,270.609,273.124,272.84
2021-01-06 12:00:00,3,2021-01-05 12:00:00,271.462,271.953,274.102,274.566,272.268,272.807,272.555,273.649,272.217,272.036,273.29
2021-01-07 12:00:00,1,2021-01-06 12:00:00,274.208,274.354,273.632,278.122,274.204,273.292,272.509,277.323,275.235,273.846,275.12
2021-01-07 12:00:00,2,2021-01-06 12:00:00,276.705,273.11,276.102,274.034,275.012,274.093,276.449,273.268,276.529,276.592,275.67
2021-01-07 12:00:00,3,2021-01-06 12:00:00,275.273,273.358,276.754,274.61,273.487,273.734,274.575,274.682,273.806,274.877,276.09
2021-01-08 12:00:00,1,2021-01-07 12:00:00,275.235,274.601,274.557,274.014,275.366,274.709,274.95,274.017,275.563,274.046,275.44
2021-01-08 12:00:00,2,2021-01-07 12:00:00,274.626,273.344,276.026,275.959,273.856,273.285,274.438,273.767,275.071,274.894,273.91
2021-01-08 12:00:00,3,2021-01-07 12:00:00,274.182,274.014,276.009,274.439,274.914,274.664,273.028,275.029,274.558,273.353,275.62
2021-01-09 12:00:00,1,2021-01-08 12:00:00,274.76,273.018,276.455,276.081,275.44,274.064,274.208,273.546,273.943,273.124,275.48
2021-01-09 12:00:00,2,2021-01-08 12:00:00,275.657,274.29,273.645,273.837,275.293,275.035,275.618,276.502,276.985,275.411,274.43
2021-01-09 12:00:00,3,2021-01-08 12:00:00,274.433,275.063,274.72,277.576,275.08,276.277,274.149,273.336,273.773,274.055,275.5
2021-01-10 12:00:00,1,2021-01-09 12:00:00,277.18,277.356,276.413,276.2,276.889,276.901,276.303,276.338,276.456,277.379,276.23
2021-01-10 12:00:00,2,2021-01-09 12:00:00,274.649,274.674,273.906,273.932,274.087,275.951,272.979,274.484,276.089,274.043,274.8
2021-01-10 12:00:00,3,2021-01-09 12:00:00,273.948,271.662,275.295,272.63,273.462,274.834,274.409,273.741,272.833,274.402,274.34
2021-01-11 12:00:00,1,2021-01-10 12:00:00,278.039,277.576,277.825,276.429,277.827,277.817,278.45,277.928,276.883,278.254,276.59
2021-01-11 12:00:00,2,2021-01-10 12:00:00,275.851,277.613,275.369,275.764,275.82,277.979,275.526,275.403,277.949,276.987,274.86
2021-01-11 12:00:00,3,2021-01-10 12:00:00,275.061,276.372,274.494,275.408,276.834,275.674,276.479,276.87,278.482,277.24,277.1
2021-01-12 12:00:00,1,2021-01-11 12:00:00,274.013,273.262,272.955,272.473,273.538,271.004,272.698,275.321,272.85,274.009,274.35
2021-01-12 12:00:00,2,2021-01-11 12:00:00,274.251,275.598,276.393,275.593,275.657,272.944,274.417,276.264,274.975,273.756,273.63
2021-01-12 12:00:00,3,2021-01-11 12:00:00,273.966,274.939,275.258,274.507,276.076,272.807,273.721,274.371,273.704,275.402,274.44
2021-01-13 12:00:00,1,2021-01-12 12:00:00,274.764,274.876,273.85,275.631,271.945,275.582,273.98,272.752,274.614,273.901,276.32
2021-01-13 12:00:00,2,2021-01-12 12:00:00,272.876,273.695,273.494,274.008,275.106,273.4,273.563,273.952,272.752,275.52,274.23
2021-01-13 12:00:00,3,2021-01-12 12:00:00,272.693,271.889,271.332,273.7,273.425,273.54,272.473,272.816,274.602,272.089,274.41
